               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11474,            0.037828,             0.04029,             0.34957,            0.083333,           0.0050886,           0.0010177,            0.072861,             0.02952,            0.026125,              0.0001,              0.0001,              0.0991
                   1,             0.11989,              0.0375,            0.040598,             0.34712,            0.083333,           0.0052878,          0.00052878,            0.069963,            0.029443,            0.025997,          0.00029901,          0.00029901,            0.097299
                   2,             0.11214,            0.039055,            0.039471,             0.34888,            0.083333,           0.0048135,          0.00096269,             0.06508,            0.029677,            0.025776,           0.0004967,           0.0004967,            0.095497
                   3,             0.11573,            0.033477,            0.037349,             0.34733,            0.083333,           0.0050729,          0.00050729,            0.057535,            0.030525,            0.025501,          0.00069307,          0.00069307,            0.093693
                   4,             0.10376,            0.036814,            0.037187,            0.018205,            0.083333,           0.0064827,          0.00064827,            0.052162,            0.031034,            0.025132,          0.00088812,          0.00088812,            0.091888
                   5,            0.095958,            0.043532,            0.037336,            0.024137,            0.083333,           0.0085162,           0.0017032,            0.050183,            0.030243,            0.024538,           0.0010819,           0.0010819,            0.090082
                   6,            0.086239,            0.042626,            0.036376,             0.38623,             0.16667,            0.034442,            0.010891,            0.048298,            0.029374,            0.024102,           0.0012743,           0.0012743,            0.088274
                   7,            0.079656,            0.036473,            0.037299,             0.62666,             0.23333,             0.14066,            0.044699,            0.044317,            0.028847,            0.023752,           0.0014653,           0.0014653,            0.086465
                   8,             0.08256,            0.039856,            0.033315,             0.72544,             0.23333,             0.17654,            0.062974,            0.042233,            0.028317,            0.023088,           0.0016551,           0.0016551,            0.084655
                   9,            0.075992,             0.04128,            0.032484,             0.72891,             0.22431,             0.20375,              0.0957,            0.040814,            0.027862,            0.023737,           0.0018436,           0.0018436,            0.082844
                  10,            0.071299,            0.042075,            0.035325,             0.87685,                 0.3,             0.35779,             0.14446,            0.040337,            0.027039,            0.023804,           0.0020307,           0.0020307,            0.081031
                  11,            0.077024,             0.04103,             0.03408,             0.48547,                 0.3,             0.29828,            0.087999,            0.039692,            0.026089,            0.023687,           0.0022165,           0.0022165,            0.079217
                  12,            0.074988,            0.036176,            0.032561,              0.4111,             0.38333,             0.35222,            0.092912,            0.035776,            0.025623,            0.023393,            0.002401,            0.002401,            0.077401
                  13,            0.072598,            0.041638,            0.031223,             0.32468,                 0.3,             0.22916,            0.064232,            0.034354,            0.024566,            0.023181,           0.0025842,           0.0025842,            0.075584
                  14,            0.071794,            0.034884,            0.036925,             0.45432,             0.37135,             0.28915,            0.074636,            0.034857,            0.022734,            0.023124,            0.002766,            0.002766,            0.073766
                  15,            0.070701,            0.032766,            0.033067,             0.16684,                 0.3,             0.10479,            0.019804,            0.042798,            0.021078,            0.023066,           0.0029465,           0.0029465,            0.071947
                  16,            0.064738,            0.037418,            0.032389,              0.2876,             0.38333,             0.26166,            0.060652,            0.034749,             0.02117,            0.022803,           0.0031258,           0.0031258,            0.070126
                  17,            0.063862,            0.028979,             0.02824,             0.11726,              0.3591,             0.13313,            0.032758,            0.044365,            0.020071,            0.021606,           0.0033037,           0.0033037,            0.068304
                  18,            0.066518,            0.038326,            0.031759,             0.36854,             0.37225,             0.27055,             0.09329,            0.031745,            0.020883,            0.020653,           0.0034802,           0.0034802,             0.06648
                  19,            0.058526,            0.029191,            0.029257,             0.26008,             0.38333,             0.24305,            0.051624,            0.035534,            0.020398,             0.02041,           0.0036555,           0.0036555,            0.064655
                  20,            0.071273,             0.03446,            0.031295,             0.99897,             0.13333,             0.15161,            0.071411,            0.045799,            0.021044,            0.020336,           0.0038294,           0.0038294,            0.062829
                  21,            0.062623,            0.031492,            0.029677,             0.28199,             0.53333,             0.37311,             0.15397,            0.035445,            0.020896,            0.020073,            0.004002,            0.004002,            0.061002
                  22,             0.06929,            0.024214,            0.030686,             0.33703,             0.53239,             0.37169,             0.11544,            0.042986,            0.022571,            0.020056,           0.0041733,           0.0041733,            0.059173
                  23,            0.073374,            0.031404,             0.02989,             0.17976,             0.36667,             0.12919,            0.056994,            0.053512,            0.024855,            0.019668,           0.0043433,           0.0043433,            0.057343
                  24,            0.068966,            0.024408,            0.031517,             0.45241,             0.51667,             0.49044,             0.12557,            0.038587,            0.022382,            0.019306,           0.0045119,           0.0045119,            0.055512
                  25,            0.067533,            0.028704,            0.031582,             0.24106,             0.36667,             0.27861,             0.06258,            0.045399,            0.021003,            0.018762,           0.0046793,           0.0046793,            0.053679
                  26,            0.066502,            0.029963,            0.027546,             0.51114,             0.21667,              0.1425,            0.049956,            0.061401,            0.018459,            0.018722,           0.0048453,           0.0048453,            0.051845
                  27,            0.071539,            0.022212,            0.022696,             0.51114,             0.21667,              0.1425,            0.049956,            0.061401,            0.018459,            0.018722,             0.00501,             0.00501,             0.05001
                  28,            0.082746,            0.022633,            0.026802,             0.67176,             0.45298,             0.31665,            0.088409,            0.054773,            0.016164,            0.018459,           0.0051733,           0.0051733,            0.048173
                  29,            0.075402,            0.017364,            0.024692,             0.60717,             0.32673,             0.29541,             0.11673,            0.058966,            0.013451,            0.016704,           0.0053354,           0.0053354,            0.046335
                  30,              0.0819,            0.020853,            0.022362,             0.60717,             0.32673,             0.29541,             0.11673,            0.058966,            0.013451,            0.016704,           0.0054961,           0.0054961,            0.044496
                  31,            0.084765,            0.018998,            0.027942,             0.56796,              0.4493,             0.30636,             0.13705,            0.053329,            0.012913,            0.016351,           0.0056555,           0.0056555,            0.042656
                  32,            0.086136,            0.017923,            0.027546,             0.66847,             0.51667,             0.47538,             0.21299,            0.050687,            0.012693,            0.015906,           0.0058136,           0.0058136,            0.040814
                  33,             0.07704,            0.022438,            0.024954,             0.66847,             0.51667,             0.47538,             0.21299,            0.050687,            0.012693,            0.015906,           0.0059704,           0.0059704,             0.03897
                  34,            0.073495,            0.023296,            0.023947,             0.66552,             0.43088,             0.35389,             0.22637,            0.049141,            0.012618,            0.015143,           0.0061258,           0.0061258,            0.037126
                  35,            0.077473,            0.023697,            0.020903,             0.35661,                0.75,             0.47539,             0.29493,            0.038376,            0.014745,            0.013922,             0.00628,             0.00628,             0.03528
                  36,            0.063737,            0.026419,            0.019846,             0.35661,                0.75,             0.47539,             0.29493,            0.038376,            0.014745,            0.013922,           0.0064328,           0.0064328,            0.033433
                  37,            0.065847,            0.025588,            0.023977,              0.7977,                0.45,             0.65635,             0.33081,            0.038523,            0.014244,            0.013115,           0.0065842,           0.0065842,            0.031584
                  38,            0.067048,              0.0257,            0.020348,             0.82415,                0.45,             0.70345,             0.27009,            0.040366,            0.013672,            0.012167,           0.0067344,           0.0067344,            0.029734
                  39,            0.070804,            0.025604,            0.020313,             0.82415,                0.45,             0.70345,             0.27009,            0.040366,            0.013672,            0.012167,           0.0068833,           0.0068833,            0.027883
                  40,             0.06414,            0.021059,            0.020397,             0.53628,             0.83333,             0.72995,             0.31879,            0.034103,             0.01351,            0.010766,           0.0070308,           0.0070308,            0.026031
                  41,            0.060807,              0.0258,            0.020749,              0.7057,             0.51448,              0.5915,             0.22333,            0.045412,            0.012211,           0.0096804,            0.007177,            0.007177,            0.024177
                  42,            0.063843,            0.025756,            0.015079,              0.7057,             0.51448,              0.5915,             0.22333,            0.045412,            0.012211,           0.0096804,           0.0073219,           0.0073219,            0.022322
                  43,            0.067566,            0.025507,            0.019818,             0.48821,             0.83333,             0.63051,             0.14756,            0.045168,            0.012104,           0.0090254,           0.0074655,           0.0074655,            0.020465
                  44,            0.071351,            0.021075,            0.015301,             0.48821,             0.83333,             0.63051,             0.14756,            0.045168,            0.012104,           0.0090254,           0.0076077,           0.0076077,            0.018608
                  45,            0.072876,            0.020034,            0.016641,             0.48409,             0.83295,             0.64478,             0.18143,            0.045098,            0.011509,           0.0080326,           0.0077486,           0.0077486,            0.016749
                  46,             0.07277,            0.021982,            0.017731,             0.48409,             0.83295,             0.64478,             0.18143,            0.045098,            0.011509,           0.0080326,           0.0078883,           0.0078883,            0.014888
                  47,            0.068978,             0.02028,            0.014628,             0.38199,             0.86434,             0.47356,             0.16989,            0.050286,            0.011897,           0.0077225,           0.0080266,           0.0080266,            0.013027
                  48,            0.067376,            0.016678,            0.011796,             0.38199,             0.86434,             0.47356,             0.16989,            0.050286,            0.011897,           0.0077225,           0.0081635,           0.0081635,            0.011164
                  49,            0.061457,            0.016113,            0.010662,             0.45365,             0.86609,             0.63571,             0.40901,            0.050815,            0.011253,           0.0068175,           0.0082992,           0.0082992,           0.0092992
                  50,            0.071001,            0.018975,            0.011496,             0.45365,             0.86609,             0.63571,             0.40901,            0.050815,            0.011253,           0.0068175,             0.00835,             0.00835,             0.00835
                  51,             0.07078,            0.017522,             0.01146,             0.47989,                   1,             0.83667,             0.36458,            0.041789,            0.010657,           0.0058241,             0.00835,             0.00835,             0.00835
                  52,            0.061062,            0.019757,            0.010196,             0.47989,                   1,             0.83667,             0.36458,            0.041789,            0.010657,           0.0058241,            0.008317,            0.008317,            0.008317
