               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098895,            0.033772,            0.032892,             0.35153,            0.083333,           0.0055114,           0.0011023,              0.0734,            0.029407,            0.026252,              0.0001,              0.0001,              0.0991
                   1,            0.098177,            0.034728,            0.032917,               0.348,            0.083333,           0.0050357,           0.0010071,            0.070586,            0.029442,            0.026079,          0.00029851,          0.00029851,            0.097299
                   2,             0.11786,            0.036276,            0.043292,             0.34765,            0.083333,           0.0046435,           0.0009287,            0.065557,            0.029739,            0.025845,          0.00049505,          0.00049505,            0.095495
                   3,             0.11133,            0.034123,            0.035984,             0.35375,            0.083333,           0.0060711,          0.00060711,            0.059452,             0.03044,            0.025601,           0.0006896,           0.0006896,             0.09369
                   4,             0.10611,            0.045094,            0.037163,                   0,                   0,                   0,                   0,            0.054298,            0.031157,            0.025213,          0.00088218,          0.00088218,            0.091882
                   5,            0.099398,            0.043167,            0.035999,                   0,                   0,                   0,                   0,            0.051873,            0.030985,            0.024634,           0.0010728,           0.0010728,            0.090073
                   6,            0.088656,            0.041356,             0.03765,            0.011752,            0.083333,           0.0040629,           0.0012189,            0.050438,            0.030066,            0.023861,           0.0012614,           0.0012614,            0.088261
                   7,            0.070418,            0.034922,             0.03092,              0.3943,             0.10588,            0.024365,           0.0071059,            0.048632,            0.029033,            0.024389,            0.001448,            0.001448,            0.086448
                   8,            0.084162,            0.044528,            0.034615,             0.41259,             0.14243,            0.033695,            0.012181,            0.047998,            0.028204,            0.024347,           0.0016327,           0.0016327,            0.084633
                   9,            0.081813,            0.040955,            0.034423,             0.42216,             0.23333,              0.0468,            0.015432,             0.04516,            0.028059,            0.023876,           0.0018154,           0.0018154,            0.082815
                  10,            0.081577,            0.053774,            0.037311,             0.50881,             0.23333,            0.084809,            0.030969,            0.042628,            0.027712,            0.024059,            0.001996,            0.001996,            0.080996
                  11,            0.076546,            0.036791,            0.033819,             0.52589,             0.22409,            0.088532,             0.02656,             0.03954,            0.027247,            0.023273,           0.0021748,           0.0021748,            0.079175
                  12,            0.073671,             0.03828,             0.03099,             0.55021,             0.37441,             0.27249,             0.09744,            0.038852,            0.026401,            0.022261,           0.0023515,           0.0023515,            0.077352
                  13,             0.07481,             0.04626,            0.032056,             0.81235,                 0.3,             0.30582,             0.14503,            0.037708,            0.025475,            0.021991,           0.0025263,           0.0025263,            0.075526
                  14,            0.057019,            0.034924,            0.029583,             0.59931,             0.29648,             0.24193,              0.1307,            0.034944,             0.02499,            0.021702,            0.002699,            0.002699,            0.073699
                  15,            0.056156,            0.025993,            0.029611,             0.43141,             0.29981,              0.2286,            0.090663,            0.036612,            0.024108,            0.022648,           0.0028698,           0.0028698,             0.07187
                  16,            0.053961,            0.032125,             0.02803,             0.27205,             0.21667,             0.17016,             0.10724,            0.037539,            0.022949,            0.022529,           0.0030386,           0.0030386,            0.070039
                  17,            0.072098,            0.028125,            0.031547,             0.12227,                 0.3,            0.059498,            0.024614,            0.044299,            0.021751,             0.02244,           0.0032055,           0.0032055,            0.068205
                  18,            0.053325,            0.030243,            0.028028,             0.54193,             0.29879,             0.19524,            0.063391,            0.034062,            0.022258,            0.022409,           0.0033703,           0.0033703,             0.06637
                  19,            0.061808,             0.04027,            0.031339,             0.48001,             0.23333,             0.18293,             0.05521,            0.035167,            0.022005,            0.022277,           0.0035332,           0.0035332,            0.064533
                  20,            0.076518,            0.031036,            0.036268,            0.065264,                 0.3,            0.036044,            0.011687,            0.048363,            0.021768,            0.022175,           0.0036941,           0.0036941,            0.062694
